"sex","region","year",Average monthly salary in the municipalities
"men","00 Sweden","2007",23500
"men","00 Sweden","2008",24700
"men","00 Sweden","2009",25400
"men","00 Sweden","2010",25700
"men","00 Sweden","2011",26300
"men","00 Sweden","2012",26900
"men","00 Sweden","2013",27700
"men","00 Sweden","2014",28400
"men","00 Sweden","2015",29000
"men","00 Sweden","2016",29700
"men","00 Sweden","2017",30500
"men","00 Sweden","2018",31200
"men","00 Sweden","2019",32000
"men","00 Sweden","2020",32600
"men","0114 Upplands Väsby","2007",24300
"men","0114 Upplands Väsby","2008",26000
"men","0114 Upplands Väsby","2009",27200
"men","0114 Upplands Väsby","2010",26900
"men","0114 Upplands Väsby","2011",28400
"men","0114 Upplands Väsby","2012",29200
"men","0114 Upplands Väsby","2013",30300
"men","0114 Upplands Väsby","2014",31300
"men","0114 Upplands Väsby","2015",31900
"men","0114 Upplands Väsby","2016",33000
"men","0114 Upplands Väsby","2017",33400
"men","0114 Upplands Väsby","2018",34300
"men","0114 Upplands Väsby","2019",34900
"men","0114 Upplands Väsby","2020",36100
"men","0115 Vallentuna","2007",22700
"men","0115 Vallentuna","2008",24100
"men","0115 Vallentuna","2009",25000
"men","0115 Vallentuna","2010",25400
"men","0115 Vallentuna","2011",25800
"men","0115 Vallentuna","2012",26600
"men","0115 Vallentuna","2013",27300
"men","0115 Vallentuna","2014",28700
"men","0115 Vallentuna","2015",29600
"men","0115 Vallentuna","2016",30700
"men","0115 Vallentuna","2017",32400
"men","0115 Vallentuna","2018",33300
"men","0115 Vallentuna","2019",34800
"men","0115 Vallentuna","2020",35900
"men","0117 Österåker","2007",23500
"men","0117 Österåker","2008",24500
"men","0117 Österåker","2009",25100
"men","0117 Österåker","2010",25300
"men","0117 Österåker","2011",25500
"men","0117 Österåker","2012",25800
"men","0117 Österåker","2013",27000
"men","0117 Österåker","2014",27700
"men","0117 Österåker","2015",28800
"men","0117 Österåker","2016",30500
"men","0117 Österåker","2017",31200
"men","0117 Österåker","2018",32400
"men","0117 Österåker","2019",33200
"men","0117 Österåker","2020",33900
"men","0120 Värmdö","2007",24400
"men","0120 Värmdö","2008",25600
"men","0120 Värmdö","2009",25400
"men","0120 Värmdö","2010",25900
"men","0120 Värmdö","2011",27100
"men","0120 Värmdö","2012",27800
"men","0120 Värmdö","2013",28700
"men","0120 Värmdö","2014",29200
"men","0120 Värmdö","2015",30000
"men","0120 Värmdö","2016",31100
"men","0120 Värmdö","2017",31400
"men","0120 Värmdö","2018",32100
"men","0120 Värmdö","2019",33500
"men","0120 Värmdö","2020",33700
"men","0123 Järfälla","2007",24200
"men","0123 Järfälla","2008",25300
"men","0123 Järfälla","2009",25700
"men","0123 Järfälla","2010",26300
"men","0123 Järfälla","2011",26900
"men","0123 Järfälla","2012",27900
"men","0123 Järfälla","2013",28700
"men","0123 Järfälla","2014",29400
"men","0123 Järfälla","2015",29900
"men","0123 Järfälla","2016",30800
"men","0123 Järfälla","2017",31600
"men","0123 Järfälla","2018",32200
"men","0123 Järfälla","2019",32900
"men","0123 Järfälla","2020",33600
"men","0125 Ekerö","2007",23300
"men","0125 Ekerö","2008",24400
"men","0125 Ekerö","2009",24900
"men","0125 Ekerö","2010",25700
"men","0125 Ekerö","2011",26400
"men","0125 Ekerö","2012",27100
"men","0125 Ekerö","2013",28000
"men","0125 Ekerö","2014",28400
"men","0125 Ekerö","2015",29300
"men","0125 Ekerö","2016",30800
"men","0125 Ekerö","2017",30900
"men","0125 Ekerö","2018",32300
"men","0125 Ekerö","2019",33200
"men","0125 Ekerö","2020",34100
"men","0126 Huddinge","2007",24300
"men","0126 Huddinge","2008",25200
"men","0126 Huddinge","2009",25800
"men","0126 Huddinge","2010",26100
"men","0126 Huddinge","2011",26700
"men","0126 Huddinge","2012",27300
"men","0126 Huddinge","2013",28100
"men","0126 Huddinge","2014",29200
"men","0126 Huddinge","2015",29700
"men","0126 Huddinge","2016",30900
"men","0126 Huddinge","2017",31900
"men","0126 Huddinge","2018",32600
"men","0126 Huddinge","2019",33700
"men","0126 Huddinge","2020",34500
"men","0127 Botkyrka","2007",23900
"men","0127 Botkyrka","2008",25300
"men","0127 Botkyrka","2009",26000
"men","0127 Botkyrka","2010",26400
"men","0127 Botkyrka","2011",26700
"men","0127 Botkyrka","2012",27200
"men","0127 Botkyrka","2013",28300
